FID,OBJECTID,SHAPE,BEZEICHNUNG,BETREIBER,ADRESSE,WEBLINK1,TYP_TXT,TXTATT1,KONTAKT,PLZ,KINDERGRUPPE,FAMILIE_0_6,FAMILIE_3_10,HEILPAED_HORT_6_10,HEILPAED_KDG_3_6,HORT_6_10,INTEGRAT_FAMILIE_0_6,INTEGRAT_FAMILIE_3_10,INTEGRAT_HORT_6_10,INTEGRAT_KDG_3_6,INTEGRAT_KLEINKINDER_0_3,KDG_3_6,HALBTAGS_KDG_3_6,KLEINKINDER_0_3,STRASSE,ONR,STG,MA11_OBJEKT_ID,FAMILIE_2_6,INTEGRAT_FAMILIE_2_6,SE_ANNO_CAD_DATA
KINDERGARTENOGD.7283138,7283138,POINT (16.411138195275946 48.21845151727416),Marienkäfer Moni,"Lernzentrum für Kinder, Eltern und Lehrerinnen","2., Elderschplatz 1-2/3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1020,14,,,,,,,,,,,,,,Elderschplatz,1-2,3,2000677,,,
KINDERGARTENOGD.7283139,7283139,POINT (16.381885430020205 48.18080764459532),Horizont 2,Kindergruppe Horizont,"10., Antonie-Alt-Gasse 4/5",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1100,14,,,,,,,,,,,,,,Antonie-Alt-Gasse,4,5,2000678,,,
KINDERGARTENOGD.7283141,7283141,POINT (16.324429376754107 48.182268868375125),Kinderwelt Karima,Kinderwelt Karima,"12., Aichholzgasse 6",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1120,14,,,,,,,,,,,,,,Aichholzgasse,6,,2000680,,,
KINDERGARTENOGD.7283142,7283142,POINT (16.41583454612315 48.25332687659108),Kinderland 2,Kindergruppe Mickey Mouse,"21., Donaufelder Straße 73/4",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1210,14,,,,,,,,,,,,,,Donaufelder Straße,73,4,2000682,,,
KINDERGARTENOGD.7283143,7283143,POINT (16.37826892996313 48.24136221947349),Himmelblaue Gruppe,Kinder Bildung ist Zukunft für Österreich Integrations Kindergruppen,"20., Marchfeldstraße 6",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1200,14,,,,,,,,,,,,,,Marchfeldstraße,6,,2000689,,,
KINDERGARTENOGD.7283144,7283144,POINT (16.395275722887842 48.254755447677674),Rote Blumen,BUNTE BLUMEN/Kindergruppen,"21., Floridsdorfer Hauptstraße 16",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1210,14,,,,,,,,,,,,,,Floridsdorfer Hauptstraße,16,,2000690,,,
KINDERGARTENOGD.7283145,7283145,POINT (16.349781974043847 48.21751717489199),Kükennest 3,Dialog zwischen Integration und Bildung in Österreich - Dino,"9., Höfergasse 13",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1090,14,,,,,,,,,,,,,,Höfergasse,13,,2000691,,,
KINDERGARTENOGD.7283146,7283146,POINT (16.369023528531905 48.23395912938049),Flower,Sudanesische Organisation für Integration von Ausländern (Saria),"20., Pappenheimgasse 31/1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1200,14,,,,,,,,,,,,,,Pappenheimgasse,31,1,2000692,,,
KINDERGARTENOGD.7283147,7283147,POINT (16.338713284118008 48.2034086640217),Feenzauber,"Feenzauber - Verein zur Kinderbetreuung, Bildung und Förderung von Kreativität","7., Wimbergergasse 12",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1070,14,,,,,,,,,,,,,,Wimbergergasse,12,,2000696,,,
KINDERGARTENOGD.7283148,7283148,POINT (16.44140750984709 48.2603879074885),Kindergruppe Sonne,KinderGruppe Sonne,"22., Alfred-Kubin-Platz 3/6A",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1220,14,,,,,,,,,,,,,,Alfred-Kubin-Platz,3,6A,2000697,,,
KINDERGARTENOGD.7283149,7283149,POINT (16.395128333669003 48.2285092683659),Kindergruppe Mini Art 1,Kindergruppe Mini Art,"2., Rabensburger Straße 20",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1020,14,,,,,,,,,,,,,,Rabensburger Straße,20,,2000702,,,
KINDERGARTENOGD.7283150,7283150,POINT (16.373445318563263 48.181765959581966),Lila Gruppe,Kinder Bildung ist Zukunft für Österreich Integrations Kindergruppen,"10., Laxenburger Straße 41",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1100,14,,,,,,,,,,,,,,Laxenburger Straße,41,,2000704,,,
KINDERGARTENOGD.7283151,7283151,POINT (16.42910141486759 48.246996996536765),Die bunten Finger,Kindergruppe Die Bunten Finger,"22., Prandaugasse 3/2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1220,14,,,,,,,,,,,,,,Prandaugasse,3,2,2000705,,,
KINDERGARTENOGD.7283152,7283152,POINT (16.350346370208015 48.19340566745799),KINDERAKADEMIE UMKA,Kinder- und Jugendverein Umka,"6., Gumpendorfer Straße 83-85/1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1060,14,,,,,,,,,,,,,,Gumpendorfer Straße,83-85,1,2000708,,,
KINDERGARTENOGD.7283153,7283153,POINT (16.39707007641557 48.202728715067934),hopp hopp hopp,Verein Wiener Kindergruppen,"3., Wassergasse 6",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1030,14,,,,,,,,,,,,,,Wassergasse,6,,2000710,,,
KINDERGARTENOGD.7283140,7283140,POINT (16.381885430020205 48.18080764459532),Horizont 3,Kindergruppe Horizont,"10., Antonie-Alt-Gasse 4/5",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1100,13,,,,,,,,,,,,,,Antonie-Alt-Gasse,4,5,2000679,,,
KINDERGARTENOGD.7283154,7283154,POINT (16.32669555676182 48.177872649009686),Aristokids 1,Kindergruppen in Donaustern/KIDS,"12., Ruckergasse 43",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,0660 9290260,1120,14,,,,,,,,,,,,,,Ruckergasse,43,,2000711,,,
KINDERGARTENOGD.7283155,7283155,POINT (16.38940149558665 48.20065357425119),Spielzimmer 5 Sinne 3,Kindergruppe Spielzimmer 5 Sinne,"3., Charasgasse 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1030,14,,,,,,,,,,,,,,Charasgasse,3,,2000713,,,
KINDERGARTENOGD.7283156,7283156,POINT (16.381407583792683 48.15313302050672),Alf Primaria,Verein Wiener Kindergruppen,"10., Jenny-Lind-Gasse 1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1100,14,,,,,,,,,,,,,,Jenny-Lind-Gasse,1,,2000715,,,
KINDERGARTENOGD.7283157,7283157,POINT (16.471627957307643 48.15808277258617),Kiddies,Revolution Kids -  gemeinnütziger Kinderbetreuungsverein,"11., Muhrhoferweg 17/4",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1110,14,,,,,,,,,,,,,,Muhrhoferweg,17,4,2000718,,,
